,usia,econ,pekerjaan,pinjaman ke,telat bayar,donasi,score
0,2.0,5.0,2.0,3.0,0.0,3.0,849.969
1,1.0,0.0,1.0,1.0,3.0,0.0,100.003
2,1.0,0.0,1.0,2.0,2.0,3.0,316.916
3,2.0,5.0,1.0,2.0,1.0,2.0,654.2860000000001
4,2.0,5.0,2.0,2.0,2.0,1.0,656.9359999999999
5,2.0,0.0,1.0,3.0,2.0,0.0,281.529
6,1.0,4.0,1.0,2.0,2.0,1.0,503.936
7,1.0,5.0,1.0,3.0,3.0,0.0,581.669
8,1.0,5.0,1.0,2.0,3.0,0.0,510.836
9,1.0,2.0,1.0,1.0,1.0,1.0,315.71299999999997
10,1.0,4.0,2.0,2.0,2.0,1.0,567.6859999999999
11,2.0,2.0,2.0,2.0,3.0,2.0,476.81600000000003
12,2.0,5.0,2.0,1.0,2.0,3.0,671.083
13,2.0,5.0,2.0,2.0,2.0,2.0,699.4259999999999
14,2.0,5.0,1.0,2.0,2.0,2.0,635.6759999999999
15,1.0,5.0,1.0,3.0,0.0,1.0,679.989
16,1.0,5.0,2.0,3.0,2.0,1.0,706.519
17,1.0,5.0,2.0,2.0,2.0,1.0,635.6859999999999
18,1.0,3.0,2.0,3.0,2.0,0.0,528.029
19,1.0,4.0,1.0,3.0,2.0,1.0,574.769
20,2.0,5.0,1.0,3.0,3.0,1.0,645.409
21,2.0,5.0,1.0,2.0,3.0,1.0,574.576
22,2.0,1.0,2.0,3.0,3.0,2.0,479.649
23,1.0,5.0,2.0,1.0,1.0,1.0,583.463
24,2.0,0.0,1.0,3.0,1.0,0.0,300.139
25,1.0,2.0,2.0,2.0,3.0,3.0,498.05600000000004
26,2.0,1.0,2.0,2.0,3.0,1.0,366.326
27,1.0,4.0,1.0,1.0,2.0,2.0,475.59299999999996
28,2.0,0.0,1.0,3.0,2.0,1.0,324.019
29,1.0,0.0,2.0,3.0,2.0,2.0,409.009
30,1.0,4.0,2.0,2.0,2.0,1.0,567.6859999999999
31,1.0,3.0,1.0,3.0,1.0,3.0,610.359
32,1.0,4.0,1.0,2.0,1.0,1.0,522.5459999999999
33,2.0,5.0,2.0,1.0,2.0,1.0,586.103
34,1.0,2.0,2.0,3.0,0.0,2.0,582.229
35,1.0,0.0,1.0,2.0,0.0,1.0,269.156
36,1.0,5.0,1.0,2.0,2.0,1.0,571.9359999999999
37,1.0,5.0,1.0,3.0,2.0,1.0,642.769
38,1.0,2.0,2.0,1.0,3.0,2.0,384.73300000000006
39,2.0,5.0,1.0,2.0,3.0,1.0,574.576
40,2.0,5.0,1.0,2.0,2.0,1.0,593.1859999999999
41,2.0,5.0,1.0,1.0,2.0,1.0,522.353
42,2.0,0.0,1.0,2.0,3.0,1.0,234.57600000000002
43,2.0,5.0,1.0,2.0,2.0,0.0,550.6959999999999
44,1.0,4.0,2.0,3.0,2.0,2.0,681.009
45,1.0,3.0,2.0,3.0,1.0,1.0,589.129
46,2.0,5.0,1.0,3.0,2.0,1.0,664.019
47,2.0,3.0,2.0,2.0,0.0,0.0,515.6659999999999
48,2.0,3.0,2.0,1.0,0.0,1.0,487.323
49,1.0,0.0,1.0,2.0,0.0,2.0,311.646
50,1.0,0.0,2.0,2.0,0.0,1.0,332.906
51,1.0,0.0,2.0,3.0,2.0,3.0,451.499
52,1.0,5.0,2.0,3.0,3.0,0.0,645.419
53,2.0,2.0,1.0,3.0,1.0,0.0,436.139
54,2.0,0.0,2.0,1.0,2.0,3.0,331.08299999999997
55,2.0,5.0,2.0,3.0,3.0,1.0,709.159
56,2.0,3.0,1.0,2.0,2.0,1.0,457.186
57,1.0,5.0,1.0,3.0,2.0,0.0,600.279
58,2.0,3.0,1.0,2.0,3.0,3.0,523.556
59,1.0,5.0,2.0,3.0,1.0,1.0,725.129
60,2.0,1.0,1.0,1.0,2.0,2.0,292.843
61,2.0,5.0,2.0,2.0,3.0,1.0,638.326
62,1.0,2.0,2.0,2.0,0.0,3.0,553.886
63,1.0,5.0,2.0,2.0,3.0,1.0,617.076
64,1.0,1.0,2.0,1.0,2.0,3.0,377.83299999999997
65,1.0,5.0,2.0,3.0,1.0,3.0,810.109
66,2.0,0.0,1.0,3.0,2.0,3.0,408.999
67,2.0,5.0,1.0,1.0,2.0,1.0,522.353
68,1.0,3.0,1.0,3.0,3.0,1.0,488.159
69,2.0,5.0,2.0,3.0,0.0,3.0,849.969
70,2.0,5.0,2.0,1.0,2.0,3.0,671.083
71,2.0,5.0,2.0,3.0,2.0,1.0,727.769
72,1.0,5.0,1.0,3.0,2.0,1.0,642.769
73,1.0,1.0,1.0,1.0,2.0,1.0,229.103
74,2.0,5.0,2.0,3.0,2.0,2.0,770.259
75,1.0,5.0,1.0,1.0,3.0,0.0,440.00300000000004
76,1.0,2.0,1.0,3.0,3.0,2.0,462.649
77,2.0,5.0,1.0,1.0,3.0,1.0,503.74300000000005
78,1.0,0.0,2.0,2.0,2.0,0.0,253.196
79,1.0,5.0,1.0,3.0,3.0,1.0,624.159
80,2.0,4.0,1.0,3.0,1.0,3.0,699.609
81,2.0,5.0,1.0,2.0,2.0,1.0,593.1859999999999
82,1.0,2.0,1.0,3.0,3.0,2.0,462.649
83,2.0,4.0,1.0,3.0,2.0,0.0,553.529
84,1.0,2.0,1.0,2.0,3.0,3.0,434.30600000000004
85,1.0,2.0,1.0,2.0,3.0,2.0,391.81600000000003
86,1.0,5.0,1.0,3.0,3.0,0.0,581.669
87,1.0,3.0,1.0,3.0,0.0,2.0,586.479
